data_set_id,primary_injection_structure_id,primary_injection_structure_acronym,secondary_injection_structure_id,secondary_injection_acronym,mouse_line_name,grid_file_url,projection_structure_unionizes_file_url
294525944,993,MOs,{993},{MOs},Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294525944_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294525944_projection_structure_unionizes.csv
294532700,993,MOs,"{39,993}","{ACAd,MOs}",Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294532700_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294532700_projection_structure_unionizes.csv
294533406,22,PTLp,{22},{PTLp},Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294533406_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294533406_projection_structure_unionizes.csv
296047084,1002,AUDp,"{1011,1002}","{AUDd,AUDp}",Chrna2-Cre_OE25,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/296047084_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/296047084_projection_structure_unionizes.csv
296047806,583,CLA,"{1057,182305689,104,119,672,985,345,583}","{GU,SSp-un,AId,AIv,CP,MOp,SSp-m,CLA}",Cux2-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/296047806_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/296047806_projection_structure_unionizes.csv
296048512,95,AI,"{1057,95,583}","{GU,AI,CLA}",Rbp4-Cre_KL100,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/296048512_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/296048512_projection_structure_unionizes.csv
296052133,385,VISp,{385},{VISp},Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/296052133_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/296052133_projection_structure_unionizes.csv
296052839,337,SSp-ll,"{985,337}","{MOp,SSp-ll}",Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/296052839_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/296052839_projection_structure_unionizes.csv
297225422,402,VISal,"{409,402,385}","{VISl,VISal,VISp}",Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297225422_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297225422_projection_structure_unionizes.csv
297231636,402,VISal,{402},{VISal},Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297231636_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297231636_projection_structure_unionizes.csv
297233422,22,PTLp,"{394,22}","{VISam,PTLp}",Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297233422_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297233422_projection_structure_unionizes.csv
297592527,385,VISp,{385},{VISp},Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297592527_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297592527_projection_structure_unionizes.csv
297593235,385,VISp,"{385,533}","{VISp,VISpm}",Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297593235_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297593235_projection_structure_unionizes.csv
297593942,385,VISp,"{385,409}","{VISp,VISl}",Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297593942_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297593942_projection_structure_unionizes.csv
297597186,385,VISp,"{385,394}","{VISp,VISam}",Chrna2-Cre_OE25,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297597186_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297597186_projection_structure_unionizes.csv
297627858,894,RSPagl,"{894,394,533}","{RSPagl,VISam,VISpm}",Chrna2-Cre_OE25,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297627858_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297627858_projection_structure_unionizes.csv
297628576,329,SSp-bfd,"{361,329,182305689}","{SSp-tr,SSp-bfd,SSp-un}",Ntsr1-Cre_GN220,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297628576_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297628576_projection_structure_unionizes.csv
297629282,385,VISp,{385},{VISp},Ntsr1-Cre_GN220,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297629282_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297629282_projection_structure_unionizes.csv
297629988,385,VISp,{385},{VISp},Ntsr1-Cre_GN220,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297629988_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297629988_projection_structure_unionizes.csv
297652799,361,SSp-tr,"{361,337}","{SSp-tr,SSp-ll}",Rbp4-Cre_KL100,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297652799_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297652799_projection_structure_unionizes.csv
297654263,361,SSp-tr,"{329,361}","{SSp-bfd,SSp-tr}",Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297654263_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297654263_projection_structure_unionizes.csv
297668898,329,SSp-bfd,{329},{SSp-bfd},Plxnd1-Cre_OG1,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297668898_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297668898_projection_structure_unionizes.csv
297669605,985,MOp,{985},{MOp},Plxnd1-Cre_OG1,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297669605_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297669605_projection_structure_unionizes.csv
297670312,394,VISam,"{22,394}","{PTLp,VISam}",Drd3-Cre_KI196,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297670312_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297670312_projection_structure_unionizes.csv
297671018,329,SSp-bfd,"{361,329}","{SSp-tr,SSp-bfd}",Drd3-Cre_KI196,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297671018_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297671018_projection_structure_unionizes.csv
297671724,385,VISp,"{533,385}","{VISpm,VISp}",Syt6-Cre_KI148,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297671724_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297671724_projection_structure_unionizes.csv
297710633,329,SSp-bfd,"{361,329}","{SSp-tr,SSp-bfd}",Sim1-Cre_KJ18,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297710633_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297710633_projection_structure_unionizes.csv
297711339,985,MOp,{985},{MOp},Sim1-Cre_KJ18,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297711339_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297711339_projection_structure_unionizes.csv
297712045,22,PTLp,"{22,385}","{PTLp,VISp}",Sim1-Cre_KJ18,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297712045_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297712045_projection_structure_unionizes.csv
297713365,329,SSp-bfd,"{329,378,369}","{SSp-bfd,SSs,SSp-ul}",Sim1-Cre_KJ18,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297713365_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297713365_projection_structure_unionizes.csv
297714071,337,SSp-ll,"{985,337}","{MOp,SSp-ll}",Sim1-Cre_KJ18,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297714071_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297714071_projection_structure_unionizes.csv
297854981,993,MOs,"{993,985}","{MOs,MOp}",Sim1-Cre_KJ18,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297854981_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297854981_projection_structure_unionizes.csv
297855879,378,SSs,"{329,672,378,677}","{SSp-bfd,CP,SSs,VISC}",Cux2-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297855879_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297855879_projection_structure_unionizes.csv
297858011,111,AIp,"{961,378,677,583,111,1057}","{PIR,SSs,VISC,CLA,AIp,GU}",Chrna2-Cre_OE25,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297858011_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297858011_projection_structure_unionizes.csv
297892130,993,MOs,{993},{MOs},Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297892130_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297892130_projection_structure_unionizes.csv
